model number,threshold,average_over,dilationn_size,all_bands,precission,recall,f-measure
1,,,,FALSE,0.8731076820279384,0.9423722701764666,0.9064186772452365
2,,,,FALSE,0.9347786576658444,0.8114083523021793,0.8687353714740729
3,,,,FALSE,0.9755310900914871,0.7089315093191499,0.8211339667954475
4,,,,FALSE,0.9877787073073145,0.6120439025489621,0.7557887120115774
6,,,,FALSE,0.9917063984935294,0.5578418336300737,0.714034328573489
7,,,,FALSE,0.9917063984935294,0.5578418336300737,0.714034328573489
8,,,,FALSE,0.9646134093257759,0.6942146897748529,0.8073757601174251
9,,,,FALSE,0.9277102431247509,0.8393319961235942,0.881311009879903
10,,,,FALSE,0.9570505626497618,0.7111176218701404,0.8159555210757693
11,,,,FALSE,0.9637076111529767,0.7205381893579139,0.8245686431279498
12,,,,FALSE,0.8361823641395011,0.9602217664690902,0.893919684444631
13,,,,FALSE,0.8900110962657669,0.8857587162786504,0.8878798147520615
14,,,,FALSE,0.9787424080028582,0.6174077663338667,0.7571758267575075
15,,,,FALSE,0.9011891541736072,0.8778932185436433,0.8893886637365146
16,,,,FALSE,0.8499438292408923,0.9548579026841856,0.8993515108417622
