model number,threshold,average_over,dilationn_size,all_bands,precission,recall,f-measure
0,,,,TRUE,0.9782070493191739,0.6767708638525163,0.8000372990182365
1,,,,TRUE,0.9637155749183134,0.6979558720786099,0.809583562073563
2,,,,TRUE,0.9704444587380202,0.6800613013003989,0.7997084741270787
3,,,,TRUE,0.9322747810992265,0.8230601068265309,0.8742698458297424
4,,,,TRUE,0.8763109124604819,0.9058168623650582,0.8908196285296334
5,,,,TRUE,0.9243954931003925,0.8228121971558,0.8706508000858513
6,,,,TRUE,0.9113574079014382,0.846904509702283,0.8779496285220317
8,,,,TRUE,0.9913743750238541,0.5854048815667892,0.7361276426911524
9,,,,TRUE,0.9243954931003925,0.8228121971558,0.8706508000858513
10,,,,TRUE,0.9787424080028582,0.6174077663338667,0.7571758267575075
11,,,,TRUE,0.9601745614288605,0.7487548173356472,0.841386820645292
12,,,,TRUE,0.8900218982945873,0.9068310382907755,0.8983478455012279
13,,,,TRUE,0.9737088550518539,0.6326880169480066,0.76700090161471
14,,,,TRUE,0.9646134093257759,0.6942146897748529,0.8073757601174251
18,,,,TRUE,0.9871698709091626,0.5635662932996777,0.7175116926343577
19,,,,TRUE,0.9347786576658444,0.8114083523021793,0.8687353714740729
